Date,Not indexed,Indexed,Impressions
2026-06-19,,,1316
2026-06-20,,,1474
2026-06-21,,,1816
2026-06-22,,,2023
2026-06-23,,,1954
2026-06-24,,,1725
2026-06-25,,,1457
2026-06-26,,,1547
2026-06-27,,,1593
2026-06-28,,,1684
2026-06-29,,,1884
2026-06-30,494,65,1892
2026-07-01,449,63,1870
2026-07-02,449,63,1759
2026-07-03,449,63,1628
2026-07-04,449,63,1709
2026-07-05,449,63,1923
2026-07-06,449,63,2154
2026-07-07,449,63,1949
2026-07-08,449,63,2275
2026-07-09,449,63,1627
2026-07-10,449,63,1452
2026-07-11,413,63,1887
2026-07-12,413,63,2008
2026-07-13,413,63,2364
2026-07-14,413,63,2088
2026-07-15,413,63,2001
2026-07-16,413,63,1601
2026-07-17,413,63,1596
2026-07-18,413,63,1859
2026-07-19,413,63,2159
2026-07-20,413,63,2504
2026-07-21,413,63,2142
2026-07-22,413,63,2236
2026-07-23,413,63,1768
2026-07-24,413,63,1826
2026-07-25,390,66,2412
2026-07-26,390,66,2426
2026-07-27,390,66,2790
2026-07-28,390,66,1956
2026-07-29,390,66,2054
2026-07-30,390,66,1655
2026-07-31,390,66,1360
2026-08-01,390,66,1537
2026-08-02,390,66,2061
2026-08-03,390,66,1903
2026-08-04,390,66,1714
2026-08-05,390,66,1745
2026-08-06,389,66,1602
2026-08-07,389,66,1650
2026-08-08,385,66,1924
2026-08-09,385,66,2418
2026-08-10,385,66,2724
2026-08-11,383,64,2400
2026-08-12,383,64,3027
2026-08-13,383,64,1763
2026-08-14,383,64,1572
2026-08-15,379,63,1989
2026-08-16,379,63,2025
2026-08-17,379,63,1681
2026-08-18,364,64,122
2026-08-19,364,64,95
2026-08-20,364,64,125
2026-08-21,364,64,90
2026-08-22,342,64,95
2026-08-23,342,64,112
2026-08-24,342,64,94
2026-08-25,342,64,186
2026-08-26,342,64,128
2026-08-27,342,64,68
2026-08-28,342,64,82
2026-08-29,329,63,102
2026-08-30,329,63,99
2026-08-31,329,63,157
2026-09-01,329,63,109
2026-09-02,329,63,106
2026-09-03,329,63,115
2026-09-04,329,63,103
2026-09-05,311,61,108
2026-09-06,311,61,90
2026-09-07,311,61,96
2026-09-08,311,61,95
2026-09-09,311,61,97
2026-09-10,311,61,80
2026-09-11,311,61,80
2026-09-12,311,61,78
2026-09-13,311,61,115
2026-09-14,311,61,99
