Date,Affected pages
2026-06-30,133
2026-07-01,123
2026-07-02,123
2026-07-03,123
2026-07-04,123
2026-07-05,123
2026-07-06,123
2026-07-07,123
2026-07-08,123
2026-07-09,123
2026-07-10,123
2026-07-11,111
2026-07-12,111
2026-07-13,111
2026-07-14,111
2026-07-15,111
2026-07-16,111
2026-07-17,111
2026-07-18,111
2026-07-19,111
2026-07-20,111
2026-07-21,111
2026-07-22,111
2026-07-23,111
2026-07-24,111
2026-07-25,104
2026-07-26,104
2026-07-27,104
2026-07-28,104
2026-07-29,104
2026-07-30,104
2026-07-31,104
2026-08-01,104
2026-08-02,104
2026-08-03,104
2026-08-04,104
2026-08-05,104
2026-08-06,103
2026-08-07,103
2026-08-08,101
2026-08-09,101
2026-08-10,101
2026-08-11,101
2026-08-12,101
2026-08-13,101
2026-08-14,101
2026-08-15,102
2026-08-16,102
2026-08-17,102
2026-08-18,96
2026-08-19,96
2026-08-20,96
2026-08-21,96
2026-08-22,88
2026-08-23,88
2026-08-24,88
2026-08-25,88
2026-08-26,88
2026-08-27,88
2026-08-28,88
2026-08-29,81
2026-08-30,81
2026-08-31,81
2026-09-01,81
2026-09-02,81
2026-09-03,81
2026-09-04,81
2026-09-05,72
2026-09-06,72
2026-09-07,72
2026-09-08,72
2026-09-09,72
2026-09-10,72
2026-09-11,72
2026-09-12,72
2026-09-13,72
2026-09-14,72
